City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,66.18,96,100,5.99,ZA,2023-01-30 16:15:50
1,atuona,-9.8,-139.0333,79.12,79,53,20.02,PF,2023-01-30 16:15:26
2,butaritari,3.0707,172.7902,80.94,77,66,20.27,KI,2023-01-30 16:15:27
3,danilovka,50.3557,44.1168,30.92,96,100,9.71,RU,2023-01-30 16:15:52
4,bonavista,48.6499,-53.1147,34.38,88,100,11.72,CA,2023-01-30 16:15:52
5,bredasdorp,-34.5322,20.0403,65.71,78,32,15.73,ZA,2023-01-30 16:15:53
6,hobart,-42.8794,147.3294,74.05,54,16,1.01,AU,2023-01-30 16:12:29
7,busselton,-33.65,115.3333,66.88,67,51,16.31,AU,2023-01-30 16:15:41
8,victoria,22.2855,114.1577,61.25,60,59,5.99,HK,2023-01-30 16:08:41
9,ouallam,14.3188,2.0866,69.49,6,78,9.98,NE,2023-01-30 16:15:55
10,hermanus,-34.4187,19.2345,66.79,79,3,17.69,ZA,2023-01-30 16:15:55
11,urucara,-2.5364,-57.76,73.99,97,99,2.13,BR,2023-01-30 16:15:56
12,geraldton,-28.7667,114.6,75.61,83,1,3.44,AU,2023-01-30 16:15:57
13,kodiak,57.79,-152.4072,42.31,93,100,4.61,US,2023-01-30 16:15:57
14,punta arenas,-53.15,-70.9167,53.11,50,0,20.71,CL,2023-01-30 16:15:58
15,georgetown,5.4112,100.3354,78.73,75,20,3.44,MY,2023-01-30 16:12:07
16,kristiinankaupunki,62.2743,21.376,28.09,77,64,17.63,FI,2023-01-30 16:15:59
17,aripuana,-9.1667,-60.6333,71.96,98,33,1.05,BR,2023-01-30 16:16:00
18,port elizabeth,-33.918,25.5701,68.09,97,100,11.5,ZA,2023-01-30 16:16:01
19,cape town,-33.9258,18.4232,70.38,62,0,14.0,ZA,2023-01-30 16:15:05
20,huaibei,33.9744,116.7917,39.34,49,63,3.24,CN,2023-01-30 16:16:02
21,qaanaaq,77.484,-69.3632,-6.5,47,4,8.68,GL,2023-01-30 16:15:26
22,kristiansund,63.1115,7.732,36.25,87,75,18.41,NO,2023-01-30 16:16:03
23,shu,43.5983,73.7614,21.11,89,100,7.16,KZ,2023-01-30 16:16:04
24,kapaa,22.0752,-159.319,75.18,87,100,25.32,US,2023-01-30 16:16:05
25,talnakh,69.4865,88.3972,-3.06,96,100,10.42,RU,2023-01-30 16:16:06
26,hilo,19.7297,-155.09,75.27,83,20,5.99,US,2023-01-30 16:16:07
27,nyurba,63.2842,118.3319,-32.01,98,99,2.3,RU,2023-01-30 16:16:08
28,albany,42.6001,-73.9662,31.64,87,99,3.0,US,2023-01-30 16:16:10
29,liverpool,53.4106,-2.9779,46.44,84,40,14.97,GB,2023-01-30 16:13:34
30,pavullo nel frignano,44.3315,10.835,37.47,63,12,52.93,IT,2023-01-30 16:16:11
31,tessalit,20.1986,1.0114,55.58,14,34,11.01,ML,2023-01-30 16:16:12
32,mao,39.8885,4.2658,45.16,81,0,6.91,ES,2023-01-30 16:16:13
33,kalabo,-14.97,22.6814,64.36,96,99,2.66,ZM,2023-01-30 16:16:14
34,bontang,0.1333,117.5,77.81,90,100,6.15,ID,2023-01-30 16:16:15
35,dingle,10.9995,122.6711,77.45,89,94,12.1,PH,2023-01-30 16:16:16
36,half moon bay,37.4636,-122.4286,55.8,32,0,11.5,US,2023-01-30 16:11:28
37,vaini,-21.2,-175.2,84.36,79,75,11.5,TO,2023-01-30 16:16:18
38,upernavik,72.7868,-56.1549,1.83,80,100,8.46,GL,2023-01-30 16:16:19
39,kuruman,-27.4524,23.4325,64.99,82,64,12.39,ZA,2023-01-30 16:16:19
40,kovur,14.4833,79.9833,73.11,86,93,6.69,IN,2023-01-30 16:16:21
41,ushuaia,-54.8,-68.3,44.74,80,80,4.68,AR,2023-01-30 16:16:22
42,pimenta bueno,-11.6725,-61.1936,72.09,97,75,3.15,BR,2023-01-30 16:16:22
43,black river,18.0264,-77.8487,77.34,77,97,2.35,JM,2023-01-30 16:16:23
44,kargasok,59.0556,80.8572,5.25,95,98,9.44,RU,2023-01-30 16:16:24
45,pizarro,4.9533,-77.366,77.34,86,96,2.13,CO,2023-01-30 16:16:25
46,port macquarie,-31.4333,152.9167,76.89,71,72,9.69,AU,2023-01-30 16:16:26
47,port hardy,50.6996,-127.4199,37.58,70,100,4.61,CA,2023-01-30 16:16:26
48,salalah,17.0151,54.0924,68.09,68,0,5.75,OM,2023-01-30 16:16:27
49,faanui,-16.4833,-151.75,81.77,73,41,12.28,PF,2023-01-30 16:16:28
50,mataura,-46.1927,168.8643,82.02,41,41,3.44,NZ,2023-01-30 16:16:28
51,touros,-5.1989,-35.4608,79.83,79,58,15.77,BR,2023-01-30 16:16:29
52,arlit,18.7369,7.3853,62.8,5,100,8.86,NE,2023-01-30 16:16:30
53,carutapera,-1.195,-46.02,74.08,94,100,2.84,BR,2023-01-30 16:16:31
54,lagoa,39.05,-27.9833,57.34,70,85,13.38,PT,2023-01-30 16:16:31
55,severo-kurilsk,50.6789,156.125,24.22,58,90,21.47,RU,2023-01-30 16:16:32
56,kiri buru,22.0833,85.35,59.58,44,68,0.74,IN,2023-01-30 16:16:33
57,beringovskiy,63.05,179.3167,20.34,95,79,7.11,RU,2023-01-30 16:15:15
58,chandur,19.7333,79.1833,70.36,52,4,1.57,IN,2023-01-30 16:16:34
59,broken hill,-31.95,141.4333,73.98,36,18,16.11,AU,2023-01-30 16:16:34
60,carnarvon,-24.8667,113.6333,75.76,76,64,9.91,AU,2023-01-30 16:16:35
61,storm lake,42.6411,-95.2097,-2.96,77,0,6.91,US,2023-01-30 16:16:36
62,thompson,55.7435,-97.8558,-16.44,76,20,6.91,CA,2023-01-30 16:16:37
63,homnabad,17.7667,77.1333,69.01,58,52,6.51,IN,2023-01-30 16:16:38
64,vardo,70.3705,31.1107,28.38,93,40,11.5,NO,2023-01-30 16:16:39
65,djambala,-2.5447,14.7533,66.69,93,90,3.2,CG,2023-01-30 16:16:40
66,durant,33.994,-96.3708,26.76,80,100,12.66,US,2023-01-30 16:15:56
67,yerbogachen,61.2767,108.0108,-31.11,100,76,3.29,RU,2023-01-30 16:12:16
68,tigil,57.8,158.6667,21.09,84,100,25.93,RU,2023-01-30 16:16:41
69,fomboni,-12.28,43.7425,80.8,77,5,3.09,KM,2023-01-30 16:16:42
70,linares,-35.85,-71.6,81.81,26,1,9.8,CL,2023-01-30 16:16:42
71,dikson,73.5069,80.5464,-14.89,91,100,4.56,RU,2023-01-30 16:16:43
